anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,sector_o_tipo_gestion,cantidad_matriculados,anho_cod_geo
2012,14,CANINDEYU,1403,CURUGUATY,1,URBANA,OFICIAL,5469,2012
2012,14,CANINDEYU,1403,CURUGUATY,1,URBANA,PRIV.SUBVENCIONADA,160,2012
2012,14,CANINDEYU,1403,CURUGUATY,1,URBANA,PRIVADA,246,2012
2012,14,CANINDEYU,1407,FRANCISCO CABALLERO ALVAREZ,6,RURAL,OFICIAL,884,2012
2012,14,CANINDEYU,1407,FRANCISCO CABALLERO ALVAREZ,1,URBANA,OFICIAL,1232,2012
2012,14,CANINDEYU,1405,ITANARA,6,RURAL,OFICIAL,331,2012
2012,14,CANINDEYU,1405,ITANARA,1,URBANA,OFICIAL,224,2012
2012,14,CANINDEYU,1408,KATUETE,6,RURAL,OFICIAL,509,2012
2012,14,CANINDEYU,1408,KATUETE,1,URBANA,OFICIAL,1634,2012
2012,14,CANINDEYU,1408,KATUETE,1,URBANA,PRIVADA,222,2012
2012,14,CANINDEYU,1409,LA PALOMA,1,URBANA,PRIV.SUBVENCIONADA,161,2012
2012,14,CANINDEYU,1409,LA PALOMA,1,URBANA,OFICIAL,353,2012
2012,14,CANINDEYU,1409,LA PALOMA,1,URBANA,PRIVADA,191,2012
2012,14,CANINDEYU,1409,LA PALOMA,6,RURAL,OFICIAL,348,2012
2012,14,CANINDEYU,1410,NUEVA ESPERANZA,1,URBANA,PRIVADA,283,2012
2012,14,CANINDEYU,1410,NUEVA ESPERANZA,1,URBANA,OFICIAL,1496,2012
